placavehiculo,cilindraje,modelovehiculo,clasedevehiculo,tipodeservicio,numeromotorvehiculo,numerochasis,capacidadpasajeros,numerofacturadeventa,tipodecombustible,estado
932ACL,197,2015,MOTOCARRO,PARTICULAR,ZS163QML8F100948,9F2A42007F5001116,1,6084,GASOLINA,ACTIVO
TBB460,6925,1983,CAMION,PUBLICO,FE6108174E,CM203620,2,202618,ACPM,ACTIVO
BCG793,1300,1993,AUTOMOVIL,PARTICULAR,E3326817,323HB21654,5,7031,GASOLINA,ACTIVO
HMG032,1297,1989,AUTOMOVIL,PARTICULAR,E3-256387,323HE-02088,5,56422,GASOLINA,ACTIVO
FSC321,4230,1980,CAMPERO,PARTICULAR,2F410842,FJ4365298,8,7114,GASOLINA,ACTIVO
SUC134,3000,1992,CAMION,PUBLICO,34646314,CHB11103,2,365967,ACPM,ACTIVO
SYL360,8000,1997,CAMION,PUBLICO,34831459,CH96962310,2,290825,ACPM,ACTIVO
BDE870,1300,1993,AUTOMOVIL,PARTICULAR,E3334711,323HB22686,4,3483,GASOLINA,ACTIVO
JUH332,1500,1986,AUTOMOVIL,PARTICULAR,E5515951,323NB00550,5,395,GASOLINA,ACTIVO
ACD036,2200,1971,AUTOMOVIL,PARTICULAR,GP21878,1811411,5,1328,GASOLINA,ACTIVO
LMC122,2600,1986,CAMPERO,PARTICULAR,4G54JA9764,DL042GHJ400619,7,8,GASOLINA,ACTIVO
ONF359,5900,1980,CAMION,PUBLICO,95901993,DT966520,2,82348,ACPM,ACTIVO
BCV394,2972,1993,CAMPERO,PARTICULAR,4G54KU7994,D0NV120PJ01181,5,12675,GASOLINA,ACTIVO
OKE291,2271,1990,VOLQUETA,PARTICULAR,45535235,CM911110,2,49590,ACPM,ACTIVO
QAG192,1400,1986,AUTOMOVIL,PARTICULAR,M805638,G0203787,5,1039,GASOLINA,ACTIVO
BGA042,1495,1995,AUTOMOVIL,PARTICULAR,G4EKR219378,KMHVA31NPSU005702,5,53122,GASOLINA,ACTIVO
LLI135,1600,1983,CAMIONETA,PARTICULAR,222255,KS261115,2,76371,GASOLINA,ACTIVO
SMI265,2771,2008,CAMION,PUBLICO,JX493ZO4A*76046123,LETYECG248HNOO185,2,184,GASOLINA,ACTIVO
WIC95A,99,2008,MOTOCICLETA,PARTICULAR,DUMBPH76604,MD2DUB4Z98FH00115,1,815,GASOLINA,ACTIVO
